Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
77	-8.76848	1.8224682	-5.511241	-14.021218	-6.537384	2.2460957	-4.1651373	-10.666365	240.0	240.0	307999	-1.3458922	1.1148497	0.85111165	-6.266661	1.3243023	0.0065627852	1372.8496866226196
78	-9.66186	2.9788156	-5.7568116	-16.762066	-10.210518	4.9986825	-4.109124	-20.431234	240.0	240.0	311999	-1.3255472	1.0902692	0.70923245	-6.0908604	1.3043059	0.0065397928	1391.1697766780853
79	-9.164892	3.3406823	-5.131243	-19.513025	-8.088602	3.8416402	-4.2863927	-17.941408	240.0	240.0	315999	-1.3191386	1.0701001	0.336995	-6.349056	1.2987528	0.006143374	1408.870138168335
80	-10.511922	3.9408095	-5.7561064	-18.379185	-8.349632	3.6756291	-3.5897684	-17.42677	240.0	240.0	319999	-1.3320564	1.0815308	0.30678022	-5.7928376	1.3119732	0.0067889974	1426.7244327068329
81	-10.479038	3.748713	-5.904974	-17.327969	-6.9387155	2.8540208	-4.049967	-14.343102	240.0	240.0	323999	-1.3403561	1.0809981	0.25175452	-5.6447377	1.3203821	0.007192949	1445.012959241867
82	-9.44409	3.0017896	-6.269812	-17.531376	-5.9878263	1.4399523	-4.5162745	-9.030931	240.0	240.0	327999	-1.3485503	1.0915227	0.6587225	-5.8532567	1.3287717	0.0063546826	1462.7931880950928
83	-7.8426423	1.6161718	-4.8763046	-10.306379	-6.433554	1.8056244	-4.0074472	-9.9819565	240.0	240.0	331999	-1.3557638	1.1166772	0.57230175	-5.9697833	1.3361052	0.006684702	1480.5543293952942
84	-9.286024	2.5872738	-5.489227	-16.707169	-7.2608213	2.0601137	-4.2686944	-12.015114	240.0	240.0	335999	-1.3487494	1.1193284	0.4243878	-6.366401	1.32834	0.007242675	1498.8472518920898
85	-8.531765	1.852061	-5.7125664	-12.4963	-6.1304426	1.6386559	-4.4376698	-9.643354	240.0	240.0	339999	-1.3319392	1.1180059	0.14567661	-6.086185	1.3116999	0.006303156	1516.5522644519806
86	-7.733479	1.5259396	-5.435104	-10.259383	-6.7125206	1.8275585	-4.4389234	-9.6489525	240.0	240.0	343999	-1.3213756	1.1165184	0.46684778	-6.088527	1.3014126	0.0065838946	1534.2803909778595
87	-7.9320393	1.8176804	-5.4699745	-12.567324	-6.0245104	2.0171278	-4.0693173	-10.746124	240.0	240.0	347999	-1.3102895	1.1085352	0.9231508	-5.9260907	1.290286	0.0069499016	1552.5067286491394
88	-7.8507442	1.7264787	-5.6476717	-11.02033	-6.601863	1.1202002	-5.552632	-9.536447	240.0	240.0	351999	-1.3047686	1.1097066	0.43949294	-6.128256	1.2854527	0.0062326393	1569.8958377838135
89	-7.702222	1.2458568	-5.095347	-9.310741	-7.4083824	0.7767112	-6.0938673	-8.382282	240.0	240.0	355999	-1.3021584	1.1011703	1.0646261	-5.9732885	1.283136	0.0062484825	1587.660122871399
90	-8.070065	2.4138951	-5.5159335	-14.644752	-6.6469545	0.9644378	-4.177888	-7.8542647	240.0	240.0	359999	-1.3043063	1.0996124	1.7100903	-6.282206	1.2851514	0.005911128	1606.197048664093
91	-7.5910664	1.5885462	-5.0292892	-10.479493	-6.4262877	3.0861752	-4.252994	-15.093203	240.0	240.0	363999	-1.3019526	1.0872433	1.8687075	-6.6235323	1.2830215	0.006144046	1623.8531486988068
92	-8.020454	2.2447433	-5.40148	-13.781959	-7.6564317	1.7172276	-5.1837435	-10.367893	240.0	240.0	367999	-1.3105366	1.085574	1.1537832	-6.3004465	1.2919538	0.0063787843	1641.7495243549347
