Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
46	-9.318382	2.447099	-3.8134234	-19.77189	-5.482724	1.6885798	-2.8175955	-8.259513	15.0	15.0	183999	-2.1007903	1.8951182	0.95593494	-13.487195	1.7826585	0.1000206	273.6196873188019
47	-9.480738	2.263617	-3.6004565	-15.4368515	-6.449195	1.5827645	-3.8343112	-8.554379	15.0	15.0	187999	-2.102481	1.9028447	0.67316246	-13.994894	1.7868845	0.09952657	279.61323404312134
48	-9.651688	2.325823	-4.3280745	-14.896997	-6.7833657	2.524386	-2.9988885	-10.084846	15.0	15.0	191999	-2.085471	1.8844545	2.1414528	-13.74594	1.77116	0.09954903	285.62467861175537
49	-9.168189	2.1833029	-4.2073092	-15.27863	-6.5306673	1.9225607	-2.8069355	-9.85215	15.0	15.0	195999	-2.0671964	1.8850819	2.9222527	-13.750891	1.7507919	0.09741771	291.6325306892395
50	-9.328564	2.2224152	-4.49256	-16.19014	-5.294375	1.8374593	-2.8792434	-7.812945	15.0	15.0	199999	-2.0618265	1.8655251	1.1436257	-13.754799	1.7526238	0.096607834	297.7738528251648
51	-9.307864	2.434882	-4.3775287	-25.531603	-5.86759	1.2315992	-3.9086645	-7.5415564	15.0	15.0	203999	-2.060338	1.8765178	1.8825485	-14.627907	1.7508264	0.096753076	303.79118967056274
52	-9.626112	2.150672	-5.436363	-16.32051	-5.8138647	2.3500707	-2.756245	-9.103891	15.0	15.0	207999	-2.0525126	1.8721752	1.0326966	-14.535898	1.7456311	0.0963812	309.79113364219666
53	-9.535063	2.3511074	-4.3753543	-15.757724	-5.464082	1.9587291	-3.7605548	-9.408854	15.0	15.0	211999	-2.054895	1.8668665	0.98667383	-14.102065	1.7469606	0.095638044	315.80476355552673
54	-9.502025	2.4001236	-3.917393	-14.765207	-6.228946	2.2448473	-1.9123771	-8.589619	15.0	15.0	215999	-2.0395231	1.8671707	1.9361895	-13.633528	1.7321961	0.093929335	321.7962374687195
55	-9.46073	2.3957088	-4.405043	-15.781472	-5.2591324	2.2744732	-1.8645269	-8.783456	15.0	15.0	219999	-2.0305753	1.850356	0.65817297	-13.817925	1.7283205	0.0910087	327.8509831428528
56	-9.279312	2.3520234	-3.6183736	-15.038004	-5.2417574	2.015627	-1.7179918	-8.157876	15.0	15.0	223999	-2.0503163	1.8490894	0.7896631	-13.903365	1.7503359	0.09293794	333.87682032585144
57	-9.298713	2.3143935	-4.1614747	-15.513385	-5.3278513	2.112943	-1.843872	-9.170045	15.0	15.0	227999	-2.044252	1.851215	2.9824853	-13.360701	1.744943	0.094190046	339.88417959213257
58	-9.553203	2.45568	-3.2296128	-14.955053	-6.051148	1.6095934	-2.7593806	-8.619413	15.0	15.0	231999	-2.0169082	1.8548316	4.1059947	-13.589155	1.7146385	0.09069818	345.91073751449585
59	-9.500715	2.2710555	-4.348696	-14.9571495	-5.584533	2.68003	-1.8390343	-9.573421	15.0	15.0	235999	-1.9916303	1.8371359	0.65487826	-13.83392	1.6903336	0.088653415	351.90940856933594
60	-9.308314	2.3198984	-4.398137	-15.217949	-4.926948	1.7696892	-2.2795737	-8.509521	15.0	15.0	239999	-1.9962221	1.839709	2.7802768	-13.920974	1.6961795	0.08896728	358.0350215435028
61	-9.314722	2.237375	-4.5552197	-15.01609	-6.1507254	2.0274327	-3.2633116	-8.606896	15.0	15.0	243999	-1.9912779	1.8447403	5.0653305	-13.913973	1.6937414	0.08973856	364.0520601272583
62	-9.390477	2.365108	-4.417554	-16.404898	-4.162429	2.0217066	-1.605775	-8.37165	15.0	15.0	247999	-2.0018313	1.8291609	1.2262344	-13.8925295	1.7071247	0.087940626	370.0710735321045
63	-9.574822	2.2598808	-4.38893	-15.353526	-6.4611	2.2299	-2.1874573	-9.83341	15.0	15.0	251999	-1.9921726	1.8319798	2.3254013	-13.231686	1.6968819	0.086980864	376.0551178455353
64	-9.211179	2.260192	-3.5454817	-14.195215	-5.9089847	2.4507055	-2.0101173	-8.846524	15.0	15.0	255999	-1.9775224	1.8268114	1.1737218	-13.606257	1.6826857	0.08479447	382.0303204059601
65	-9.351842	2.299549	-4.501111	-15.036124	-5.2312665	2.0670803	-3.0045216	-9.331264	15.0	15.0	259999	-1.9717647	1.8149595	2.0530071	-13.737747	1.679723	0.08556491	388.03436756134033
66	-9.306765	2.2512972	-4.853602	-17.330597	-6.31547	1.9501115	-2.53843	-8.77494	15.0	15.0	263999	-1.9832698	1.8320841	4.4584746	-13.18438	1.6903381	0.08735259	394.0375108718872
67	-9.300654	2.2827463	-3.8809526	-15.00214	-5.9032354	1.8715451	-3.2112262	-9.3256645	15.0	15.0	267999	-1.985529	1.8271481	4.731955	-13.801651	1.694919	0.085506625	400.0357620716095
68	-9.198595	2.327088	-3.7491262	-15.942992	-5.2351074	1.943316	-2.6308703	-9.130883	15.0	15.0	271999	-1.9752078	1.8159728	1.9662278	-13.8449545	1.6851877	0.08504885	406.06782937049866
69	-9.44255	2.3526146	-3.2487159	-15.849568	-6.7638245	1.8645031	-4.1255217	-10.127263	15.0	15.0	275999	-1.9552106	1.8183501	1.7757758	-14.080579	1.666663	0.083590046	412.09106492996216
70	-9.224526	2.2287228	-3.854198	-14.752685	-5.679605	2.515937	-2.0764658	-9.78011	15.0	15.0	279999	-1.966442	1.8055131	2.291387	-13.940076	1.6785767	0.08609827	418.1603059768677
71	-9.387574	2.3908544	-4.5833178	-16.377172	-6.182162	2.0549657	-2.7704217	-9.285403	15.0	15.0	283999	-1.9638988	1.803971	0.8926207	-13.791564	1.6775155	0.08526668	423.95836758613586
72	-9.35347	2.2788289	-4.5448003	-16.894102	-5.6185274	2.1059787	-2.7633758	-9.383853	15.0	15.0	287999	-1.941887	1.8026992	3.8396497	-13.251556	1.6526519	0.082096085	429.75764536857605
