Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
87	-18.518425	2.722282	-13.4000435	-25.130045	60.0	-7.001451	3.9463193	0.15504134	-19.43567	352000	-4.482269e-08	1.5492532	-0.0015713401	-0.36389387	-1.5698044	0.0035159695	0.10225	3.0	110.05412125587463
88	-18.607145	3.4202776	-12.7579	-26.587303	60.0	-6.9400067	4.138107	0.7334346	-20.35713	356000	-6.6757204e-09	1.2466813	-0.003664666	-0.35315865	-1.5360086	0.009671584	0.087	1.0	111.16297030448914
89	-18.80388	3.575881	-13.134239	-27.675255	60.0	-7.039929	4.095173	0.14138344	-20.786278	360000	-2.193451e-08	1.7684389	-0.0026432325	-0.4053948	-1.5557477	0.0075087384	0.063	1.0	112.27956581115723
90	-19.206701	3.526596	-13.723521	-27.446451	60.0	-7.3567324	4.171635	0.4328932	-21.023842	364000	-1.9550324e-08	2.823493	-0.008286462	-1.6063691	-1.5634596	0.014281806	0.14075	6.0	113.5691647529602
91	-19.861969	3.8236787	-13.748682	-28.5554	60.0	-7.2001944	4.3410378	1.1539333	-20.331736	368000	-1.7642975e-08	1.4038846	-0.017559968	-0.40119588	-1.5303426	0.013624149	0.1415	30.0	114.75914311408997
92	-18.967249	4.245191	-12.501959	-35.12049	60.0	-6.9325094	4.2186174	6.375906	-20.278996	372000	4.9114227e-08	7.4508576	-0.025212424	-5.9743986	-1.6040097	0.011584366	0.17	79.0	116.01135516166687
93	-18.613264	4.0257854	-13.018135	-36.225025	60.0	-7.1966987	4.131769	0.88912046	-22.895924	376000	-3.4809112e-08	1.9337302	-0.024597725	-0.6853205	-1.6177077	0.015421232	0.17525	53.0	117.22481274604797
94	-18.38674	3.4770706	-12.13791	-27.05293	60.0	-6.975533	4.124994	1.7892764	-23.444477	380000	-3.8146974e-09	1.45404	-0.0056559476	-0.5178692	-1.6691629	0.007511403	0.039	2.0	118.34635925292969
95	-18.625738	3.6117525	-12.189208	-28.323124	60.0	-7.098481	4.1529894	0.6666842	-19.770903	384000	5.6266785e-08	1.2455178	-0.025986161	-0.3541376	-1.7065248	0.0065572863	0.16225	79.0	119.58912396430969
96	-18.330416	3.232952	-12.500984	-25.999321	60.0	-6.738614	4.028518	0.29978198	-20.115252	388000	-2.002716e-08	0.81200117	-0.023499927	-0.2511027	-1.7467852	0.012884341	0.16575	56.0	120.80228519439697
